,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,popularity,uri,title,artist,top genre,year,target
1105,0.885,0.14300000000000002,100.052,0.267,0.158,0.0,4,0.7609999999999999,4,211187,-4.14,0.466,0,audio_features,10,spotify:track:3U9nXamLtp1X72gCZHrTTB,Testament,Jelena Karleusa,narodna muzika,2012,0
1106,0.898,0.47200000000000003,127.102,0.0658,0.000518,2.56e-06,4,0.774,11,232360,-3.887,0.5870000000000001,1,audio_features,12,spotify:track:63o1xEDA11P2ksgm2Jjrfz,Ko ti to baje,Jelena Karleusa,narodna muzika,2012,0
1107,0.9359999999999999,0.669,124.97,0.14300000000000002,0.00483,0.0,4,0.6970000000000001,5,312293,-2.568,0.555,0,audio_features,12,spotify:track:2N4cr14luNmOUnjXRaaQid,Casino,Jelena Karleusa,narodna muzika,2012,0
1108,0.9009999999999999,0.716,102.935,0.29100000000000004,0.298,0.0,4,0.807,0,170293,-3.009,0.857,1,audio_features,13,spotify:track:1OAtqTJcuZMqFDRakTQW26,Bas je dobro biti ja,Jelena Karleusa & Marcus,narodna muzika,2012,0
1109,0.945,0.18600000000000003,129.015,0.0603,0.019,0.00016999999999999999,4,0.769,0,206000,-3.408,0.597,1,audio_features,14,spotify:track:0apWWrZg2J18njYVxkXIPp,Slatka mala,Jelena Karleusa,narodna muzika,2012,0
1110,0.9,0.0491,114.069,0.0459,0.146,3.39e-06,4,0.589,3,268000,-3.741,0.23399999999999999,0,audio_features,13,spotify:track:2NHtAIc1CKxQbWp9IuHr6N,Magija,Jelena Karleusa,narodna muzika,2012,0
1111,0.9890000000000001,0.177,126.014,0.06,0.0184,0.00025499999999999996,4,0.8009999999999999,5,207000,-2.592,0.932,0,audio_features,12,spotify:track:53HkNS1vrCXwpGGTzivPd0,Nisi u pravu,Jelena Karleusa,narodna muzika,2012,0
1112,0.887,0.0802,153.953,0.0805,0.0965,0.0,4,0.662,5,224000,-2.248,0.693,1,audio_features,10,spotify:track:3sfb1r4XsoTsGhpcfXyscg,Ne smem da se...,Jelena Karleusa,narodna muzika,2012,0
1113,0.905,0.193,130.02,0.0541,0.00317,1.15e-05,4,0.72,7,227000,-3.637,0.287,1,audio_features,13,spotify:track:4sk3iuiZNFwFW1MboOGvCL,Upravo ostavljena,Jelena Karleusa,narodna muzika,2012,0
1114,0.9159999999999999,0.263,95.986,0.0556,0.222,0.000129,4,0.81,5,204000,-4.345,0.72,0,audio_features,13,spotify:track:2ZZpkTT90AnCE0D0qunqL0,Ide maca oko tebe,Jelena Karleusa,narodna muzika,2012,0
1115,0.847,0.11800000000000001,100.022,0.19399999999999998,0.0497,0.0,4,0.848,8,144047,-4.382,0.447,1,audio_features,57,spotify:track:29HQG5FmpUH5nWwHDF163B,Ain't Equal,Megan Thee Stallion,houston rap,2020,0
1116,0.741,0.096,168.983,0.33399999999999996,0.0252,0.0,4,0.843,11,155497,-5.609,0.68,1,audio_features,84,spotify:track:55CHeLEfn5iJ0IIkgaa4si,Savage,Megan Thee Stallion,houston rap,2020,0
1117,0.633,0.285,163.99099999999999,0.287,0.0118,0.0,4,0.863,10,176750,-5.002,0.545,0,audio_features,80,spotify:track:1E3VQQWFQAPJkXfYHjqWoI,Captain Hook,Megan Thee Stallion,houston rap,2020,0
1118,0.627,0.19899999999999998,108.042,0.17600000000000002,0.276,0.0,4,0.831,11,150767,-6.614,0.76,0,audio_features,63,spotify:track:6DxQb1QXBymgaMBZJujxV2,Hit My Phone (feat. Kehlani),Megan Thee Stallion & Kehlani,houston rap,2020,0
